0.68,"Уважаемые коллеги, добрый день."
0.68,"Мы сегодня, расширяя географию выездных брифингов, начинаем работу в Ижевске, а в центре Удмуртии."
0.68,"Я счастлива, для меня это впервые."
0.68,"А и столько я слышала, столько я видела и столько у меня, э, было желание приехать сюда."
0.68,"И вот, наконец, это свершилось."
26.56,"Так что будем сегодня говорить и про мировые дела, и про геополитику, конечно, как всегда."
26.56,"Но по традиции начнём как раз с тех мест, которые нас так радушно сегодня принимают."
26.56,Так что рада приветствовать всех.
26.56,О нас смотрят.
26.56,"Ну, я без ложной скромности скажу, в разных странах, э, многие люди, которые следят за Россией, её внешней политикой и при этом находятся за рубежом."
26.56,"Поэтому я рада приветствовать всех участников сегодняшнего брифинга и российских журналистов, и зарубежных журналистов, и всю нашу обширную аудиторию в столице Удмурской республики и не для наших дорогих сограждан, соотечников из Удмуртии, а именно для международной аудитории."
26.56,Я кратко расскажу об истории этих мест.
84.28,Город Ижевск основан на или лучше сказать даже в междуречье рек Камы и Вятки.
84.28,"Состоялась это судьбоносное для нас, для всех событий 10 апреля 1760 года, когда началось сооружение плотина через реку Иш и корпусов железно железодетального завода графа Петра Ивановича Шувалова."
84.28,В 1774 году завод был почти полностью разрушен во время Пугачёвского восстания.
84.28,Производство тогда практически остановилась.
84.28,"И, ну, по сути, второе рождение города произошло 10 июня 1807 года, когда по указу императора Александра Iдащийся горный инженер Андрей Фёдорович Дерябин основал оружейный завод, третий в России после Тульского и Сестрорецкого."
84.28,"Как показало дальнейшее развитие событий, это решение стало, а крайне своевременным."
145.36,История же повторяется.
145.36,"И тогда в те в тот период, опять было неспокойно в европейском континенте, в Европе шли наполеоновские войны."
145.36,"И уже в 1812 году оружие, которое поставлялось именно Ижевским заводом, помогло отразить очередное вторжение Запада на территории нашей страны."
145.36,И с тех пор Ижевск стал известен как один из ведущих оружейных центров страны.
145.36,В годы Великой Отечественной он переподтвердил свою славу.
181.36,"Ижевск был единственным городом СССР, где выпускали все виды стрелкового оружия."
188.44,"Мы обязательно в тексте брифинга разместим ссылку на материалы, которые об этом рассказывают подробно, с цифрами, фактами и так далее."
201.72,"Ну и, безусловно, история города неразрывно связана с именем не просто известного, а всемирно известного, выдающегося советского конструктора Михаила Тимофеевича Калашникова."
216.64,"Сейчас Удмурти известно как крупный промышленный центр, который производит, в том числе, комплектующий для атомного ледокольного флота, нефтяной, газовой, горнодобывающей промышленности."
216.64,"Мы сейчас об этом ещё подробнее поговорим, но Удмуртия как промышленность, так и культура, безусловно, это родина великого русского композитора Петра Ильевича Чайковского."
216.64,"Я хочу сказать, в том числе как и а житель не только Москвы, но и Подмосковья, мы всегда связываем имя Чайковского с Клином, где находится его усадьба."
216.64,"Но я прошу помнить, что Родина Чайковского - это как раз эти места."
216.64,"Это как раз Удмуртия, город Водкинск."
260.919,И в эти самые потрясающие музыкальные наши традиции были продолжены уже в современности.
260.919,Мурти - это и они заговорили во всём мире благодаря бурановским бабушкам.
260.919,"И я хочу сказать, это была одна из моих, а не просто задумок, это была моя мечта с ними увидеться, встретиться."
260.919,И я её сегодня реализую.
287.44,"А, ну хочется сказать, э, правильно было бы сказать: ""Бурановские бабушки, ждите, я к вам приеду""."
287.44,Но я скажу по-другому.
296.32,"Бурановские девчонки, с учётом вашего задора мы сегодня с вами там зажжём, я надеюсь."
296.32,"А помните, как в 2012 году они зажгли в самом лучшем смысле этого слова, как это должно происходить было бы, зажгли Европу своим потрясающим не только номером вокальным, но ещё и танцами."
296.32,"Аа мне кажется, вот тогда Европа, наверное, ещё и пригорёнилась, потому что поняла, что наша традиция, наш культурный код, а настолько интересный и настолько мощный, а что их со своими ложными традициями мы действительно можем обойти на всех поворотах."
296.32,"А, но вот это действительно удивительная история про то, как традиции, а, те самые традиционные ценности оказались, а, не подвластны никакому извращению, никаким ложным ценностям и продемонстрировали силу культуры, как она есть."
296.32,"Вот в том виде, в котором она и должна доминировать."
296.32,"Не сложной повесткой, а с настоящей."
362.96,"И я хочу сказать, это удивительное."
362.96,"Я не знала, но когда мне рассказали, а для меня это стало каким-то действительно, ну, не знаю, дополнительным, особенным поводом для уважения."
362.96,"Все собранные и заработанные средства, а, бурановские бабушки направляли на восстановление Троицкой церкви в родном селе."
382.72,Представляете?
382.72,"Ну, вот опять же сила наших традиций, сила нашего духа."
382.72,"А, и конечно с Удмуртией связаны имена и судьбы многих выдающихся граждан нашей страны."
382.72,"Большой вклад в развитие края внесли архитектор Семён, э, Емельянович Дудин."
382.72,"Он определил облик Старого Ижевского, имя маршала Дмитрия Фёдоровича Устинова, э, создателя первых мотоциклов Иш Петра Владимировича, а, Мажарова."
382.72,"И, конечно, здесь огромное количество достопримечательностей."
417.4,"Великолепный национальный музей Удмурской республики имени Кузибаягерта, где можно погрузиться в культуру, традиции."
425.039,"И, конечно, быт удмурдского народа тоже мы сейчас об этом поговорим, чтобы весь мир знал, где на самом деле родина пельменей."
425.039,"А, ну и, конечно, архитектурная жемчужина - это памятник XIX века, старинное здание Арсенала."
442.479,"Как мы уже сказали, это Удмурти - это и промышленность, и военное дело, и культура."
442.479,"А, но это не только музей, это ещё, э, конечно, удивительная архитектура, где классицизм XIX века соседствует с конструктивизмом."
458.68,Современные издания вписаны в историческую ткань.
458.68,"Так гармонично, что это не только не режет, не режет глаз, а наоборот, его радует."
458.68,"А мне кажется, Ижевск, Удмуртия - это действительно место с душой, богатой историей и множеством поводов для восхищения и настоящих открытий."
479.0,"А, и я хочу сказать, что сегодня у нас в зале не только журналисты, но ещё и а студентымеждународники из Удмурского государственного университета и школьники из международного образовательного комплекса Гармония."
479.0,Так что всех рада приветствовать.
479.0,"И давайте, э, коль скоро мы говорим о силе и особенностях Удмурти, я хочу сказать, что, а, и читала много, и слышала, и знаю, и теперь ещё это и свидетельствую."
479.0,"Удмурти - это, конечно, колоссальная, а, просто невероятная сила патриотизма, истинного и настоящего."
479.0,Вот о некоторых его проявлениях я сказала.
479.0,"И сегодня встретилась с ещё одним меня здесь первыми, кто принимал, это были ребята, которые запускают сегодня в Удмуртии, э, марафон, связанный с георгиевской ленточкой."
479.0,"Собственно говоря, вот эта георгиевская ленточка из Удмуртии в этом году будет со мной всегда на всех мероприятиях."
479.0,"Так что на следующем брифинге я тоже, э, обязательно буду в ней."
479.0,"Я просто напомню, что это за акция."
479.0,А она стартовала в этом году 22 апреля.
479.0,"Она ежегодная, всероссийская георгиевская лента."
479.0,"Она продлится до 9 мая, как это происходит из года в год."
479.0,"И в текущем году силами волонтёров Победы планируется распространить миллионы георгиевских лент, как среди граждан Российской Федерации, так и среди соотечественников, которые проживают за рубежом."
479.0,"Напомню, как всё начиналось."
572.48,"Начиналось всё в 2005 году, тогда когда журналисты РИА Новости, наши с вами коллеги, а, а, вот выступили с такой инициативой."
572.48,"По сути, она была, ну, можно сказать, частной, гражданской."
589.399,Взяли и придумали.
589.399,"раз, э, изображают георгиевскую ленту, почему её не сделать действительно, а, тактильной, э, чтобы можно было её дарить, чтобы можно было её завязывать, чтобы можно было действительно вот так через визуальный образ уже материализованный рассказывать о победе."
589.399,"Я вам хочу рассказать историю о том, как очень кратко о том, как увидев первый раз тогда в 2005 году георгиевские ленты, а, так сказать, изготовленные РИАновости, а я связалась с агентством, будучи ещё совсем молодым сотрудником Министерства иностранных дел."
589.399,"Я не была руководителем, была просто, ну, по-настоящему рядовым дипломатом."
589.399,"И сказала: ""А где можно её взять?"
589.399,""" Они говорят: ""А вам зачем?"
589.399,""" Я говорю: ""Я хочу привести, э, в Соединённые Штаты Америки."
589.399,Я её туда с командировкой.
589.399,"Мы подготовили к 9 мая 2005 года, а выставку детского рисунка в штаб-квартире ООН""."
589.399,"Я говорю: ""Я хочу всем раздавать кёргевские ленты""."
589.399,"Они подумали, подумали, сказали: ""Ну, дело хорошее, мы вам дадим""."
589.399,И по сути это были такие первые ласточки георгиевских ленточек за рубежом вывезены.
589.399,"Ну, а дальше это стало нашей мощной, прекрасной, замечательной традицией, а, которая действительно приобрела и по праву всенародный объединяющий характер."
672.04,"А в 2026 году, несмотря на запреты, козни, травлю, всё равно эта акция пройдёт по более чем тридцати государствам мира."
672.04,"Она будет и в Алжире, и в Угандии, Панаме, Индии, Болгарии, Катари, Египте."
672.04,"Приднестровье, странах СНГ, государствах Ближнего Востока, Африки, Латинской Америки, в Азиатско-Тихоокеанском регионе, даже в странах с так называемыми недружественными режимами акция будет проводиться на площадках наших посольств, русских домов."
672.04,"А в год, ну, если можно так сказать, полного совершеннолетия акций организаторы планируют распространить около 21 млн ленточек."
672.04,Добровольцы работают более чем на 8.
672.04,"000х площадках, включая территории за полярным кругом."
672.04,"Я ещё раз хочу сказать, георгиевская ленточка - это священный символ победы, победа над нацизмом и фашизмом, но это ещё и символ вообще героизма и мужества, которые проявляли наши соотечественники, наши предки, делали это не в агрессивном ключе, а защищая своё отечество."
672.04,"Для миллионов людей, не только в России, но и далеко за её пределами, она олицетворяет и память о павших, и уважение к ветеранам, и гордость за подвиг предков, и, конечно, неразрывную связь поколений, воинскую славу и доблесть, и самое главное, мир."
758.56,"Вы посмотрите, с какой агрессией наши недруги относятся к георгиевской ленте."
764.44,Что это за предмет такой?
764.44,Разве он может чем-то навредить?
764.44,Разве он опасен?
770.839,Разве он несёт какой-то неуважительный смысл?
770.839,"Ничего подобного, ровно наоборот."
776.199,И при этом это вызывает у них такую агрессивную ненависть.
776.199,С чем это похоже?
781.92,На что это похоже?
781.92,С чем это можно сравнить?
781.92,"На мой взгляд, действительно, со святой водой."
781.92,"Ничего плохого она не делает, но как только она на нечисть попадает, она начинает эта нечисть шипеть и уползать."
796.72,"Поэтому спасибо большое ребятам из Удмуртии за то, что первое, что они сделали, ну, желание рассказать о своём крае, они подарили мне героевскую ленту и рассказали о том, как эта акция будет проходить в Удмурти."
814.36,"А, но я думаю, что и многое другое мне сегодня тоже ещё расскажут."
814.36,Планы у меня огромные.
814.36,"Ну и у нас есть такая традиция, а рассказывать о международных и межрегиональных связях, ну, а также особых достопримечательностях культуре и традициях Удмурской республики."
814.36,"Я это сделал вначале так достаточно эмоционально, а теперь хочется с цифрами и фактами."
814.36,"Удмурская республика - динамично развивающийся субъект Российской Федерации с высокотехнологичной экономикой, выстраивающей свои внешние связи с учётом более тесного взаимодействия с дружественными государствами."
814.36,"А просто хочу напомнить, что регион успешно сотрудничает с более чем 85 государствами мира."
814.36,"А каковы же приоритетные партнёры Удмуртии - это страны СНГ, Ближнего Востока, Африки, Азиатско, Тихоокеанского региона."
814.36,"За 9 месяцев прошлого двадцать пятого года торговый оборот увеличился по сравнению с аналогичным периодом 24 года на 12,5, даже более того, 12,6% и составил 576,2 млн долларов."
814.36,"Основные экспортные поставки осуществляются в Казахстан, 28,2%, Белоруссию 20,6%, Турцию 15,2%."
891.0,"В торговых позициях преобладают машины, оборудование, транспортные средства, металлы, изделия из них древесина, целёзно-бумажные изделия, продовольствие, сельскохозяйственное сырьё."
891.0,Больше всего товаров республики завозят из Китая.
891.0,"Это 67,4%, Белоруссия опять же 10,5% и США 5%."
891.0,Развитие внешних торгово-экономических связей Удмуртии основывается на 14 соглашениях о сотрудничестве среди партнёров региона Беларуси.
891.0,"Казахстан, Китай, а Узбекистан, ЮАР."
891.0,И при этом Удмуртия активно расширяет географию контактов.
891.0,"В двадцать пятом году состоялись рабочие визиты, в частности, заместителя председателя правительства, э, в Казахстан, Белоруссию."
891.0,"делегацию Удмуртии побывали с бизнес-миссиями в Бахрейне, Казахстане, Эмиратах, Саудовской Аравии, Узбекистане, а также и регион посетили делегации предпринимателей из Казахстана, Киргизии, Китая, Монголии, Турции."
891.0,"В текущем году деловые поездки намечено осуществить также Белоруссию и Вьетнам, Индию, Индонезию, Эмираты и Узбекистан."
891.0,"А я уже сказала, но давайте к этой теме ещё раз вернёмся."
891.0,Удмурдская республика.
891.0,"а самобытный регион, который привлекает гостей и своей фантастической живописной природой, и древними обычаями, уникальной истории и, конечно, богатейшей культурой."
891.0,На её территории расположены более 2.
891.0,000 объектов культурно-исторического наследия и природных достопримечательностей.
891.0,"Ещё раз, 2."
